Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, AUC, kappa
BOOKKEEPER, UnderSampling, None, 7, RandomForest, 81.2102564102564, 53.64991159383683, 81.87772925764192, 166.0, 323.0, 427.0, 0.0, 0.3394683026584867, 1.0, 0.8833012048192771, 0.3239342644047968
BOOKKEEPER, UnderSampling, None, 7, IBk, 81.2102564102564, 53.64991159383683, 81.87772925764192, 166.0, 315.0, 435.0, 0.0, 0.34511434511434513, 1.0, 0.8841044176706827, 0.3335643015521063
BOOKKEEPER, OverSampling, None, 7, NaiveBayes, 81.2102564102564, 53.64991159383683, 81.87772925764192, 161.0, 444.0, 306.0, 5.0, 0.26611570247933886, 0.9698795180722891, 0.8333975903614458, 0.18618216931551954
BOOKKEEPER, OverSampling, None, 7, RandomForest, 81.2102564102564, 53.64991159383683, 81.87772925764192, 165.0, 325.0, 425.0, 1.0, 0.336734693877551, 0.9939759036144579, 0.855871485943775, 0.31856436095441526
BOOKKEEPER, OverSampling, None, 7, IBk, 81.2102564102564, 53.64991159383683, 81.87772925764192, 165.0, 309.0, 441.0, 1.0, 0.34810126582278483, 0.9939759036144579, 0.8480803212851405, 0.3378910257606
BOOKKEEPER, SMOTE, None, 7, NaiveBayes, 81.2102564102564, 53.64991159383683, 81.87772925764192, 157.0, 439.0, 311.0, 9.0, 0.2634228187919463, 0.9457831325301205, 0.8396947791164658, 0.17946092937694944
BOOKKEEPER, SMOTE, None, 7, RandomForest, 81.2102564102564, 53.64991159383683, 81.87772925764192, 166.0, 323.0, 427.0, 0.0, 0.3394683026584867, 1.0, 0.8809437751004016, 0.3239342644047968
BOOKKEEPER, SMOTE, None, 7, IBk, 81.2102564102564, 53.64991159383683, 81.87772925764192, 166.0, 318.0, 432.0, 0.0, 0.34297520661157027, 1.0, 0.8752610441767068, 0.3299287804339425
BOOKKEEPER, UnderSampling, BestFirst, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 139.0, 47.0, 246.0, 51.0, 0.7473118279569892, 0.7315789473684211, 0.8518142626190048, 0.5732907832107312
BOOKKEEPER, UnderSampling, BestFirst, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 166.0, 7.0, 286.0, 24.0, 0.9595375722543352, 0.8736842105263158, 0.9690677204957787, 0.8633713237642463
