Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, doc/hedwigDesign.textile, 68, 310, 189, 63, 121
1, hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java, 49, 49, 49, 49, 49
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java, 55, 55, 55, 55, 55
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java, 36, 46, 41, 21, 5
1, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java, 79, 109, 94, 31, 2
1, bookkeeper/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java, 0, 1146, 573, 287, 573
1, bookkeeper/README.txt, 0, 124, 62, 31, 62
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java, 160, 170, 165, 55, 2
1, hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java, 76, 82, 79, 40, 3
1, hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java, 51, 53, 52, 26, 1
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java, 0, 356, 178, 89, 178
1, bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java, 0, 356, 178, 89, 178
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java, 92, 160, 126, 32, 2
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java, 0, 408, 204, 102, 204
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java, 204, 204, 204, 204, 204
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java, 27, 27, 27, 27, 27
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java, 0, 176, 88, 44, 88
1, hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java, 315, 323, 319, 80, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java, 105, 207, 156, 52, 2
1, bookkeeper-server/bin/bookkeeper, 122, 172, 147, 49, 140
1, hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java, 112, 116, 114, 57, 2
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java, 216, 220, 218, 73, 216
1, doc/bookkeeperOverview.textile, 167, 189, 178, 59, 47
1, hedwig-client/src/main/cpp/test/utiltest.cpp, 94, 94, 94, 47, 90
1, hedwig-server/pom.xml, 196, 284, 240, 22, 22
1, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java, 48, 52, 50, 25, 2
1, hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java, 162, 164, 163, 82, 1
1, doc/bookieRecovery.textile, 41, 41, 41, 41, 41
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java, 0, 122, 61, 31, 61
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java, 261, 261, 261, 261, 261
