Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, Auc, kappa
ZOOKEEPER, None, None, 13, IBk, 88.65351838324811, 74.80545637645335, 81.68812589413447, 1142.0, 0.0, 256.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 14, NaiveBayes, 89.77703293500437, 75.58639720801882, 81.75338560228083, 672.0, 28.0, 228.0, 475.0, 0.96, 0.5858761987794245, 0.9121059693766347, 0.28393745161287043
ZOOKEEPER, None, None, 14, RandomForest, 89.77703293500437, 75.58639720801882, 81.75338560228083, 1147.0, 0.0, 256.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 14, IBk, 89.77703293500437, 75.58639720801882, 81.75338560228083, 1145.0, 0.0, 256.0, 2.0, 1.0, 0.998256320836966, 0.999128160418483, 0.9952363652414242
ZOOKEEPER, None, None, 15, NaiveBayes, 90.71919619249074, 76.21684640046634, 81.69515669515668, 670.0, 28.0, 229.0, 477.0, 0.9598853868194842, 0.5841325196163906, 0.9146377455653218, 0.2832157934749203
ZOOKEEPER, None, None, 15, RandomForest, 90.71919619249074, 76.21684640046634, 81.69515669515668, 1147.0, 1.0, 256.0, 0.0, 0.9991289198606271, 1.0, 0.9996234467177105, 0.9976149544395144
ZOOKEEPER, None, None, 15, IBk, 90.71919619249074, 76.21684640046634, 81.69515669515668, 1147.0, 1.0, 256.0, 0.0, 0.9991289198606271, 1.0, 0.9980544747081712, 0.9976149544395144
ZOOKEEPER, None, None, 16, NaiveBayes, 91.47971216060954, 76.72527763088313, 81.68914123491838, 670.0, 27.0, 231.0, 481.0, 0.9612625538020086, 0.5821025195482189, 0.918153408899575, 0.28375384504542
ZOOKEEPER, None, None, 16, RandomForest, 91.47971216060954, 76.72527763088313, 81.68914123491838, 1151.0, 1.0, 257.0, 0.0, 0.9991319444444444, 1.0, 0.9999966325204238, 0.9976240381907615
ZOOKEEPER, None, None, 16, IBk, 91.47971216060954, 76.72527763088313, 81.68914123491838, 1150.0, 1.0, 257.0, 1.0, 0.9991311902693311, 0.9991311902693311, 0.9971948895129951, 0.9952552212770831
